"","Count","Conclusion","Algorithm","Picture","Page","Speaker","Text","before","after","min_count","max_count","combined"
"16",16,"All","All","All",6,"Fire","I am a firearms examiner.","<div class='speech-bubble firearms'><div class='left-text'>","</div><div class='firearms-image'></div></div><br/>",13,26,"<div class='speech-bubble firearms'><div class='left-text'> I am a firearms examiner. </div><div class='firearms-image'></div></div><br/>"
"17",17,"All","All","All",6,"Pros","How long have you been doing that?","<div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'>","</div> </div> ",13,26,"<div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'> How long have you been doing that? </div> </div> "
"18",18,"All","All","All",6,"Fire","7 years","<div class='speech-bubble firearms'><div class='left-text'>","</div><div class='firearms-image'></div></div><br/>",13,26,"<div class='speech-bubble firearms'><div class='left-text'> 7 years </div><div class='firearms-image'></div></div><br/>"
"19",19,"All","All","All",6,"Pros","What is a firearms examiner?","<div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'>","</div> </div> ",13,26,"<div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'> What is a firearms examiner? </div> </div> "
"20",20,"All","All","All",6,"Fire","A firearms examiner is someone who looks at cartridge cases and bullets to determine whether they were fired from a particular firearm.","<div class='speech-bubble firearms'><div class='left-text'>","</div><div class='firearms-image'></div></div><br/>",13,26,"<div class='speech-bubble firearms'><div class='left-text'> A firearms examiner is someone who looks at cartridge cases and bullets to determine whether they were fired from a particular firearm. </div><div class='firearms-image'></div></div><br/>"
"21",21,"All","All","All",6,"Pros","What training is required to become a firearms examiner with the local police department?","<div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'>","</div> </div> ",13,26,"<div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'> What training is required to become a firearms examiner with the local police department? </div> </div> "
"22",22,"All","All","All",6,"Fire","I received my bachelor's degree in forensic science and in 2015 I transferred to the crime lab from the crime scene unit. I underwent a two-year training program, which was supervised by experienced firearms examiners; I've toured manufacturing facilities and saw how firearms and ammunition were produced; and I've attended several national and regional meetings of firearms examiners.","<div class='speech-bubble firearms'><div class='left-text'>","</div><div class='firearms-image'></div></div><br/>",13,26,"<div class='speech-bubble firearms'><div class='left-text'> I received my bachelor's degree in forensic science and in 2015 I transferred to the crime lab from the crime scene unit. I underwent a two-year training program, which was supervised by experienced firearms examiners; I've toured manufacturing facilities and saw how firearms and ammunition were produced; and I've attended several national and regional meetings of firearms examiners. </div><div class='firearms-image'></div></div><br/>"
"23",23,"All","All","All",6,"Pros","And during the course of your career, were you tested in proficiency to make sure you were still conducting appropriate examinations?","<div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'>","</div> </div> ",13,26,"<div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'> And during the course of your career, were you tested in proficiency to make sure you were still conducting appropriate examinations? </div> </div> "
"24",24,"All","All","All",6,"Fire","Yes. I have undergone annual proficiency examinations.","<div class='speech-bubble firearms'><div class='left-text'>","</div><div class='firearms-image'></div></div><br/>",13,26,"<div class='speech-bubble firearms'><div class='left-text'> Yes. I have undergone annual proficiency examinations. </div><div class='firearms-image'></div></div><br/>"
"25",25,"All","All","All",6,"Pros","Is the local police department lab accredited? ","<div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'>","</div> </div> ",13,26,"<div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'> Is the local police department lab accredited?  </div> </div> "
"26",26,"All","All","All",6,"Fire","Yes, it is accredited by ASCLID/LAB.","<div class='speech-bubble firearms'><div class='left-text'>","</div><div class='firearms-image'></div></div><br/></div>",13,26,"<div class='speech-bubble firearms'><div class='left-text'> Yes, it is accredited by ASCLID/LAB. </div><div class='firearms-image'></div></div><br/></div>"
"27",27,"All","Yes","All",7,"Pros","And in addition to what you just told us, do you have other qualifications?","<div style='display:grid'><div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'>","</div> </div> ",27,38,"<div style='display:grid'><div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'> And in addition to what you just told us, do you have other qualifications? </div> </div> "
"28",28,"All","Yes","All",7,"Fire","Yes, I do.","<div class='speech-bubble firearms'><div class='left-text'>","</div><div class='firearms-image'></div></div><br/>",27,38,"<div class='speech-bubble firearms'><div class='left-text'> Yes, I do. </div><div class='firearms-image'></div></div><br/>"
"29",29,"All","Yes","All",7,"Pros","Can you tell us what those are?","<div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'>","</div> </div> ",27,38,"<div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'> Can you tell us what those are? </div> </div> "
"30",30,"All","Yes","All",7,"Fire","Yes. I received training in the use of a bullet matching algorithm. This is an algorithm that evaluates the characteristics of two fired bullets, in order to produce a score for the similarity of the bullets, where more similar bullets are more likely to have been fired from the same gun. I attended a workshop on the algorithm on 1/11/2020, held by CSAFE - Center for Statistics and Applications in Forensic Evidence. The training taught me to use the algorithm alongside my personal judgement. I found that my conclusion was reflected in the similarity score produced by the algorithm in all 21 cases.","<div class='speech-bubble firearms'><div class='left-text'>","</div><div class='firearms-image'></div></div><br/>",27,38,"<div class='speech-bubble firearms'><div class='left-text'> Yes. I received training in the use of a bullet matching algorithm. This is an algorithm that evaluates the characteristics of two fired bullets, in order to produce a score for the similarity of the bullets, where more similar bullets are more likely to have been fired from the same gun. I attended a workshop on the algorithm on 1/11/2020, held by CSAFE - Center for Statistics and Applications in Forensic Evidence. The training taught me to use the algorithm alongside my personal judgement. I found that my conclusion was reflected in the similarity score produced by the algorithm in all 21 cases. </div><div class='firearms-image'></div></div><br/>"
"31",31,"All","Yes","All",7,"Pros","Where does the bullet matching algorithm come from?","<div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'>","</div> </div> ",27,38,"<div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'> Where does the bullet matching algorithm come from? </div> </div> "
"32",32,"All","Yes","All",7,"Fire","It was created by Dr. Adrian Jones.","<div class='speech-bubble firearms'><div class='left-text'>","</div><div class='firearms-image'></div></div><br/>",27,38,"<div class='speech-bubble firearms'><div class='left-text'> It was created by Dr. Adrian Jones. </div><div class='firearms-image'></div></div><br/>"
"33",33,"All","Yes","All",7,"Pros","How long have the state police been using the bullet matching algorithm?","<div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'>","</div> </div> ",27,38,"<div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'> How long have the state police been using the bullet matching algorithm? </div> </div> "
"34",34,"All","Yes","All",7,"Fire","They have been using it since January of 2020.","<div class='speech-bubble firearms'><div class='left-text'>","</div><div class='firearms-image'></div></div><br/>",27,38,"<div class='speech-bubble firearms'><div class='left-text'> They have been using it since January of 2020. </div><div class='firearms-image'></div></div><br/>"
"35",35,"All","Yes","All",7,"Pros","Have you testified in court previously using the bullet matching algorithm?","<div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'>","</div> </div> ",27,38,"<div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'> Have you testified in court previously using the bullet matching algorithm? </div> </div> "
"36",36,"All","Yes","All",7,"Fire","Yes, I have, approximately 10 times.","<div class='speech-bubble firearms'><div class='left-text'>","</div><div class='firearms-image'></div></div><br/>",27,38,"<div class='speech-bubble firearms'><div class='left-text'> Yes, I have, approximately 10 times. </div><div class='firearms-image'></div></div><br/>"
"37",37,"All","Yes","All",7,"Pros","As a firearms examiner, have you testified about your conclusions, given the results of your testing?","<div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'>","</div> </div> ",27,38,"<div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'> As a firearms examiner, have you testified about your conclusions, given the results of your testing? </div> </div> "
"38",38,"All","Yes","All",7,"Fire","Yes, I have.","<div class='speech-bubble firearms'><div class='left-text'>","</div><div class='firearms-image'></div></div><br/></div>",27,38,"<div class='speech-bubble firearms'><div class='left-text'> Yes, I have. </div><div class='firearms-image'></div></div><br/></div>"
"39",39,"All","All","All",8,"Pros","Your Honor, at this time I would ask that Terry Smith be qualified as an opinion witness in the field of firearms identification subject to cross examination.","<div style='display:grid'><div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'>","</div> </div> ",39,42,"<div style='display:grid'><div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'> Your Honor, at this time I would ask that Terry Smith be qualified as an opinion witness in the field of firearms identification subject to cross examination. </div> </div> "
"40",40,"All","All","All",8,"Court","Any cross on their credentials?","<div class='speech-bubble court'><div class='court-image'></div><div class='right-text'>","</div> </div> ",39,42,"<div class='speech-bubble court'><div class='court-image'></div><div class='right-text'> Any cross on their credentials? </div> </div> "
"41",41,"All","All","All",8,"Def","No, Your Honor.","<div class='speech-bubble def'><div class='def-image'></div><div class='right-text'>","</div> </div> ",39,42,"<div class='speech-bubble def'><div class='def-image'></div><div class='right-text'> No, Your Honor. </div> </div> "
"42",42,"All","All","All",8,"Court","This witness is an opinion witness in the area of firearms identification. They can testify to their opinions as well as facts. Go ahead.","<div class='speech-bubble court'><div class='court-image'></div><div class='right-text'>","</div> </div> </div>",39,42,"<div class='speech-bubble court'><div class='court-image'></div><div class='right-text'> This witness is an opinion witness in the area of firearms identification. They can testify to their opinions as well as facts. Go ahead. </div> </div> </div>"
"43",43,"All","All","All",9,"Pros","What work did you do on this case?","<div style='display:grid'><div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'>","</div> </div> ",43,55,"<div style='display:grid'><div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'> What work did you do on this case? </div> </div> "
"44",44,"All","All","All",9,"Fire","I was asked to compare a bullet from the crime scene to a test fire from the gun recovered from the traffic stop.","<div class='speech-bubble firearms'><div class='left-text'>","</div><div class='firearms-image'></div></div><br/>",43,55,"<div class='speech-bubble firearms'><div class='left-text'> I was asked to compare a bullet from the crime scene to a test fire from the gun recovered from the traffic stop. </div><div class='firearms-image'></div></div><br/>"
"45",45,"All","All","All",9,"Pros","Did you examine how many lands and grooves the bullet had?","<div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'>","</div> </div> ",43,55,"<div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'> Did you examine how many lands and grooves the bullet had? </div> </div> "
"46",46,"All","All","All",9,"Fire","Yes.","<div class='speech-bubble firearms'><div class='left-text'>","</div><div class='firearms-image'></div></div><br/>",43,55,"<div class='speech-bubble firearms'><div class='left-text'> Yes. </div><div class='firearms-image'></div></div><br/>"
"47",47,"All","All","All",9,"Pros","Can you explain for the jury what that means?","<div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'>","</div> </div> ",43,55,"<div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'> Can you explain for the jury what that means? </div> </div> "
"48",48,"All","All","All",9,"Fire","Yes. In the interior of a barrel there are raised portions called lands and depressed areas called grooves. When a bullet passes down the barrel, a bullet will spin and that gives it stability and accuracy over a distance. Those raised areas are designed by the manufacturer. They're cut into the barrel. And each particular file has a different combination of lands and grooves. But essentially what those lands do is grip a bullet and spin it, and as that bullet passes down the barrel, it scratches the random imperfections of that barrel into the bullet.","<div class='speech-bubble firearms'><div class='left-text'>","</div><div class='firearms-image'></div></div><br/>",43,55,"<div class='speech-bubble firearms'><div class='left-text'> Yes. In the interior of a barrel there are raised portions called lands and depressed areas called grooves. When a bullet passes down the barrel, a bullet will spin and that gives it stability and accuracy over a distance. Those raised areas are designed by the manufacturer. They're cut into the barrel. And each particular file has a different combination of lands and grooves. But essentially what those lands do is grip a bullet and spin it, and as that bullet passes down the barrel, it scratches the random imperfections of that barrel into the bullet. </div><div class='firearms-image'></div></div><br/>"
"49",49,"All","All","All",9,"Pros","Now, for these bullets, you counted up the lands and grooves and determined the direction of the twist, correct?","<div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'>","</div> </div> ",43,55,"<div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'> Now, for these bullets, you counted up the lands and grooves and determined the direction of the twist, correct? </div> </div> "
"50",50,"All","All","All",9,"Fire","Yes. This bullet had six lands. And the interior of the barrel, the barrel will either twist right or it will twist left. And in this particular case, the barrel twists right. And you can see that by looking at the bullet. If you look at the base of the bullet, either it goes to the left or goes to the right.","<div class='speech-bubble firearms'><div class='left-text'>","</div><div class='firearms-image'></div></div><br/>",43,55,"<div class='speech-bubble firearms'><div class='left-text'> Yes. This bullet had six lands. And the interior of the barrel, the barrel will either twist right or it will twist left. And in this particular case, the barrel twists right. And you can see that by looking at the bullet. If you look at the base of the bullet, either it goes to the left or goes to the right. </div><div class='firearms-image'></div></div><br/>"
"51",51,"All","All","Yes",9,"Pros","Exhibit A depicts a cross-section of a barrel, where rifling is clearly present. Exhibit B depicts an example of a fired bullet, with which includes lands and grooves.","<div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'>","</div> </div> ",43,55,"<div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'> Exhibit A depicts a cross-section of a barrel, where rifling is clearly present. Exhibit B depicts an example of a fired bullet, with which includes lands and grooves. </div> </div> "
"52",52,"All","All","Yes",9,"Narrator","<center>---Exhibit A---</center><br/>","","",43,55," <center>---Exhibit A---</center><br/> "
"53",53,"All","All","Yes",9,"Image","<img src='rifling.jpg' alt='rifling' style='width: 50%' height='' class='center'><br/><center><font size='-3'>baku13, CC BY-SA 3.0, 105mm tank gun Rifling.jpg, via Wikimedia Commons</font></center>","","",43,55," <img src='rifling.jpg' alt='rifling' style='width: 50%' height='' class='center'><br/><center><font size='-3'>baku13, CC BY-SA 3.0, 105mm tank gun Rifling.jpg, via Wikimedia Commons</font></center> "
"54",54,"All","All","Yes",9,"Narrator","<center>---Exhibit B---</center><br/>","","",43,55," <center>---Exhibit B---</center><br/> "
"55",55,"All","All","Yes",9,"Image","<img src='fired_bullet.jpg' alt='fired_bullet' style='width: 50%' height='' class='center'><br/><center><font size='-3'>Gremi-ch, CC BY 3.0,GP90-bullet.jpg, via Wikimedia Commons</font></center>","","</div>",43,55," <img src='fired_bullet.jpg' alt='fired_bullet' style='width: 50%' height='' class='center'><br/><center><font size='-3'>Gremi-ch, CC BY 3.0,GP90-bullet.jpg, via Wikimedia Commons</font></center> </div>"
"56",56,"All","All","All",10,"Narrator","<b><center>---Test-fired bullets admitted into evidence---</center></b><br/><br/>","<div style='display:grid'>","",56,66,"<div style='display:grid'> <b><center>---Test-fired bullets admitted into evidence---</center></b><br/><br/> "
"57",57,"All","All","All",10,"Pros","Can you describe the process of obtaining these test-fired bullets?","<div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'>","</div> </div> ",56,66,"<div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'> Can you describe the process of obtaining these test-fired bullets? </div> </div> "
"58",58,"All","All","All",10,"Fire","The test-fired bullets came from a test fire of the gun recovered from the traffic stop.","<div class='speech-bubble firearms'><div class='left-text'>","</div><div class='firearms-image'></div></div><br/>",56,66,"<div class='speech-bubble firearms'><div class='left-text'> The test-fired bullets came from a test fire of the gun recovered from the traffic stop. </div><div class='firearms-image'></div></div><br/>"
"59",59,"All","All","All",10,"Pros","You mentioned test firings; can you explain what that means?","<div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'>","</div> </div> ",56,66,"<div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'> You mentioned test firings; can you explain what that means? </div> </div> "
"60",60,"All","All","All",10,"Fire","In test firing, first what I would do is make sure the firearm is safe to actually test fire. Then I would use lab ammunition and I would test fire it, meaning that I am creating a fired bullet. Typically you do two at a time. That way you have a fired bullet to compare to another fired bullet.","<div class='speech-bubble firearms'><div class='left-text'>","</div><div class='firearms-image'></div></div><br/>",56,66,"<div class='speech-bubble firearms'><div class='left-text'> In test firing, first what I would do is make sure the firearm is safe to actually test fire. Then I would use lab ammunition and I would test fire it, meaning that I am creating a fired bullet. Typically you do two at a time. That way you have a fired bullet to compare to another fired bullet. </div><div class='firearms-image'></div></div><br/>"
"61",61,"All","All","All",10,"Pros","Would you then have taken the test firings you created and did you compare those test firings to the fired evidence that you had also received?","<div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'>","</div> </div> ",56,66,"<div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'> Would you then have taken the test firings you created and did you compare those test firings to the fired evidence that you had also received? </div> </div> "
"62",62,"All","All","All",10,"Fire","Yes. First what I would do is compare my test shot to test shot. I am looking for a detailed microscopic pattern. Once I have done that then I would compare it to the fired evidence.","<div class='speech-bubble firearms'><div class='left-text'>","</div><div class='firearms-image'></div></div><br/>",56,66,"<div class='speech-bubble firearms'><div class='left-text'> Yes. First what I would do is compare my test shot to test shot. I am looking for a detailed microscopic pattern. Once I have done that then I would compare it to the fired evidence. </div><div class='firearms-image'></div></div><br/>"
"63",63,"All","All","All",10,"Pros","And how about the number of lands and direction of twist for the test fires?","<div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'>","</div> </div> ",56,66,"<div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'> And how about the number of lands and direction of twist for the test fires? </div> </div> "
"64",64,"All","All","All",10,"Fire","It also had six lands, and twisted to the right.","<div class='speech-bubble firearms'><div class='left-text'>","</div><div class='firearms-image'></div></div><br/>",56,66,"<div class='speech-bubble firearms'><div class='left-text'> It also had six lands, and twisted to the right. </div><div class='firearms-image'></div></div><br/>"
"65",65,"All","All","All",10,"Pros","Okay. Now, did you compare the test-fired bullets to the fired evidence under the comparison microscope?","<div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'>","</div> </div> ",56,66,"<div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'> Okay. Now, did you compare the test-fired bullets to the fired evidence under the comparison microscope? </div> </div> "
"66",66,"All","All","All",10,"Fire","Yes, I did.","<div class='speech-bubble firearms'><div class='left-text'>","</div><div class='firearms-image'></div></div><br/></div>",56,66,"<div class='speech-bubble firearms'><div class='left-text'> Yes, I did. </div><div class='firearms-image'></div></div><br/></div>"
"67",67,"All","All","All",11,"Pros","What is your conclusion?","<div style='display:grid'><div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'>","</div> </div> ",67,89,"<div style='display:grid'><div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'> What is your conclusion? </div> </div> "
"68",68,"Match","All","All",11,"Fire","I found that there were sufficient individualizing characteristics to make an identification, that is that the two bullets were fired from the same barrel.","<div class='speech-bubble firearms'><div class='left-text'>","</div><div class='firearms-image'></div></div><br/>",67,89,"<div class='speech-bubble firearms'><div class='left-text'> I found that there were sufficient individualizing characteristics to make an identification, that is that the two bullets were fired from the same barrel. </div><div class='firearms-image'></div></div><br/>"
"69",69,"Match","All","All",11,"Pros","How were you able to conclude that?","<div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'>","</div> </div> ",67,89,"<div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'> How were you able to conclude that? </div> </div> "
"70",70,"Incon","All","All",11,"Fire","I found that the class characteristics of the two bullets were the same, but there was not sufficient agreement among the individual characteristics. My comparison was inconclusive.","<div class='speech-bubble firearms'><div class='left-text'>","</div><div class='firearms-image'></div></div><br/>",67,89,"<div class='speech-bubble firearms'><div class='left-text'> I found that the class characteristics of the two bullets were the same, but there was not sufficient agreement among the individual characteristics. My comparison was inconclusive. </div><div class='firearms-image'></div></div><br/>"
"71",71,"Incon","All","All",11,"Pros","How did you arrive at that decision?","<div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'>","</div> </div> ",67,89,"<div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'> How did you arrive at that decision? </div> </div> "
"72",72,"NoMatch","All","All",11,"Fire","I found that there was significant disagreement in individual characteristics.","<div class='speech-bubble firearms'><div class='left-text'>","</div><div class='firearms-image'></div></div><br/>",67,89,"<div class='speech-bubble firearms'><div class='left-text'> I found that there was significant disagreement in individual characteristics. </div><div class='firearms-image'></div></div><br/>"
"73",73,"NoMatch","All","All",11,"Pros","How were you able to conclude that? ","<div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'>","</div> </div> ",67,89,"<div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'> How were you able to conclude that?  </div> </div> "
"74",74,"All","All","All",11,"Fire","I place them under the comparison microscope, and I roll the bullet around until I can see the agreement in a particular area: unique surface contour that has sufficient agreement. At that point, when I've seen that, I start to rotate the bullets around and I look at all the different lands and grooves, impressions, for that unique detail. When I can see those, that agreement on multiple areas of the bullet, I identify the bullet as having sufficient agreement.","<div class='speech-bubble firearms'><div class='left-text'>","</div><div class='firearms-image'></div></div><br/>",67,89,"<div class='speech-bubble firearms'><div class='left-text'> I place them under the comparison microscope, and I roll the bullet around until I can see the agreement in a particular area: unique surface contour that has sufficient agreement. At that point, when I've seen that, I start to rotate the bullets around and I look at all the different lands and grooves, impressions, for that unique detail. When I can see those, that agreement on multiple areas of the bullet, I identify the bullet as having sufficient agreement. </div><div class='firearms-image'></div></div><br/>"
"75",75,"Incon","All","All",11,"Fire","When there is not strong agreement on multiple areas of the bullet, I identify the bullet as inconclusive.","<div class='speech-bubble firearms'><div class='left-text'>","</div><div class='firearms-image'></div></div><br/>",67,89,"<div class='speech-bubble firearms'><div class='left-text'> When there is not strong agreement on multiple areas of the bullet, I identify the bullet as inconclusive. </div><div class='firearms-image'></div></div><br/>"
